"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"result.1","2005-05-21","2007-09-28",2007.7397260274,2005.38904109589,1526.75,1502.53714658425,0,80,0.167107449633704,60,1.86021956651773,3.73923058762929,2007.90683347703,7.31800815321489,-0.0677509490623446,-0.0233660996653443,-0.00713836741533537,0.128397199686191,0.113678569617239,0.016114645465365
"result.2","2005-05-21","2007-09-28",2007.7397260274,2005.39726027397,1526.75,1502.61160242971,-5,80,0.1869243374706,68,1.85629489106954,3.85003166226439,2007.92665036487,7.3186942340955,-0.066365591089164,-0.0213907038731968,-0.00933465918497756,0.147791333917013,0.077764225343239,0.01606429601053
"result.3","2005-05-21","2007-09-28",2007.7397260274,2005.41095890411,1526.75,1503.09992743732,-10,80,0.239567670989345,87,1.82077656316059,4.14746766308842,2007.97929369839,7.32129136211972,-0.0640901652487224,-0.0154436964271025,-0.0138359445296591,0.203057430903847,0.0385140546817921,0.0157341984594483
"result.4","2005-05-21","2007-09-28",2007.7397260274,2005.42739726027,1526.75,1502.79272060708,-15,80,0.252479737747535,92,1.84251390237234,4.21355824832828,2007.99220576514,7.32120702401715,-0.0624328844676712,-0.0141304118468635,-0.0145537315713179,0.218322735163024,0.0341193708775034,0.0159418388606767
"result.5","2005-05-21","2007-09-28",2007.7397260274,2005.43835616438,1526.75,1503.25694090643,-20,80,0.363016572823653,132,1.79130662919913,4.79683226806241,2008.10274260022,7.32711547463857,-0.0586352728940646,-0.00155402490094348,-0.0164698664383541,0.351294242081769,0.014827790009116,0.0156281061834993
"result.6","2005-05-21","2007-09-28",2007.7397260274,2005.45205479452,1526.75,1502.97578934675,-25,80,0.333862500328223,121,1.82232900581202,4.65892865606935,2008.07358852773,7.32486031900062,-0.0587056959992608,-0.00463882953218264,-0.0167636096603261,0.317331673119975,0.0176522433112839,0.0158180928939552
"result.7","2005-05-21","2007-09-28",2007.7397260274,2005.46575342466,1526.75,1503.19771724801,-30,80,0.454780719690461,165,1.78851318258802,5.29007918946902,2008.19450674709,7.33129516738458,-0.0548222163320681,0.00683321381371383,-0.012588382000117,0.482234359257947,0.0172659859460936,0.015668120355525
"result.8","2005-05-21","2007-09-28",2007.7397260274,2005.48493150685,1526.75,1502.86294727487,-35,80,0.450952879985834,164,1.82750386316179,5.29855943162631,2008.19067890738,7.32959270272727,-0.053194081646298,0.00670841157022473,-0.0126917528228197,0.483014903773175,0.0169165042414721,0.0158943653301475
"result.9","2005-05-21","2007-09-28",2007.7397260274,2005.49315068493,1526.75,1502.79471772755,-40,80,0.44931483843925,163,1.83555596995168,5.29565757022567,2008.18904086584,7.32921263004747,-0.0529008175729557,0.00661972856735768,-0.0127656635844881,0.482756040273082,0.0167850694314538,0.0159404887373254
"result.10","2005-05-21","2007-09-28",2007.7397260274,2005.50684931507,1526.75,1502.78779665745,-45,80,0.446568072303535,162,1.83655750249536,5.28085026542857,2008.1862940997,7.32905714852363,-0.0529680870406956,0.00641156107856822,-0.0129385840444144,0.481399256514231,0.0165847361443284,0.015945167638337
