"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"1","2005-05-21","2007-09-28",2007.7397260274,2005.38904109589,1526.75,1502.48670714513,0,80,0.168662761952874,61,1.86299555462624,3.74293492882049,2007.90838878935,7.31801621601256,-0.0675378533174623,-0.023270899485373,-0.00725417214933409,0.129680100884487,0.111244904591101,0.0161487570834961
"2","2005-05-21","2007-09-28",2007.7397260274,2005.39726027397,1526.75,1502.59829241714,-5,80,0.188660479204827,68,1.85683152201153,3.85667442797852,2007.9283865066,7.31883881172372,-0.0663469166710862,-0.0213073438735532,-0.00937188415919302,0.149369462570617,0.0770879418829838,0.0160732963059634
"3","2005-05-21","2007-09-28",2007.7397260274,2005.41095890411,1526.75,1502.66245432348,-10,80,0.209371657877227,76,1.85045126154673,3.99264000656061,2007.94909768527,7.3196839278392,-0.0652114308921291,-0.0190283354901904,-0.0114253203722559,0.17186728793742,0.0558923028049309,0.0160299111801262
"4","2005-05-21","2007-09-28",2007.7397260274,2005.42739726027,1526.75,1502.8126228971,-15,80,0.258261573203526,94,1.83986388800339,4.24220981581919,2007.9979876006,7.32188854399373,-0.0626487925760598,-0.0138497981078962,-0.0145665080898138,0.22458351228781,0.033519060167266,0.0159283843761947
"5","2005-05-21","2007-09-28",2007.7397260274,2005.43835616438,1526.75,1563.07970196265,-20,80,0.0336462676543761,12,0.10002383978839,1.80888669242684,2007.77337229505,7.74385273748185,-0.530874390645667,-0.00782679360514011,-0.0552055966884126,0.0131273268329238,0.0205286397820115,-0.0232423861157103
"6","2005-05-21","2007-09-28",2007.7397260274,2005.45205479452,1526.75,1518.33449538014,-25,80,0.00206829791341079,0,1.15920221867291,6.03479246469306,2007.74179432531,7.32546872156206,-0.111044846968995,-0.0121933889307154,-0.0163317260306568,0.00272681438404464,0.0229487964608841,0.00554258936055494
"7","2005-05-21","2007-09-28",2007.7397260274,2005.46575342466,1526.75,1503.21156083338,-30,80,0.454459030478347,165,1.78802907177603,5.28677812242966,2008.19418505788,7.33246109019523,-0.0557873527850761,0.00602817942215727,-0.0130295203664326,0.481621795665357,0.0165874656332327,0.0156587667231398
"8","2005-05-21","2007-09-28",2007.7397260274,2005.48493150685,1526.75,1502.84297947737,-35,80,0.450947771871597,164,1.82867722727707,5.29743504444117,2008.19067379927,7.33114149145808,-0.0544152258711674,0.00563003301636986,-0.0132641502284189,0.482907404560187,0.0160632493875446,0.015907863196025
"9","2005-05-21","2007-09-28",2007.7397260274,2005.49315068493,1526.75,1502.49762544391,-40,80,0.44928631044354,163,1.8532615089617,5.28102823757323,2008.18901233784,7.33028051383041,-0.0534727267320864,0.00532730388734048,-0.0134186744541767,0.481394477392954,0.0157309999019807,0.0161413729681793
"10","2005-05-21","2007-09-28",2007.7397260274,2005.50684931507,1526.75,1502.70092743769,-45,80,0.446567010969147,162,1.84175888608572,5.27587083793397,2008.18629303837,7.3305432679377,-0.0540803047723907,0.00521806443360579,-0.0135295622916058,0.480944289890568,0.0156971822542632,0.0160038981298252
