"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"1","2005-05-21","2007-09-28",2007.7397260274,2005.38904109589,1526.75,1502.63135119361,0,80,0.171463051682167,62,1.85484549828215,3.76140016095858,2007.91118907908,7.31825864236039,-0.0675969343993692,-0.0229244270416392,-0.00763965705628417,0.132409122231832,0.103624460740915,0.016050942093834
"2","2005-05-21","2007-09-28",2007.7397260274,2005.39726027397,1526.75,1503.82116193198,-5,80,0.363595707302693,132,1.73833301735435,4.77086945618966,2008.1033217347,7.32913813352646,-0.0611268052215172,-0.00171215483669552,-0.0164164591584308,0.344194679618806,0.0151835540359613,0.0152470510779109
"3","2005-05-21","2007-09-28",2007.7397260274,2005.41095890411,1526.75,1502.61032624285,-10,80,0.202590617432406,73,1.8576609172593,3.93644313013733,2007.94231664483,7.31935603825811,-0.0654361399681943,-0.0199337605302644,-0.0106357218998466,0.164182782635898,0.0630042990048915,0.0160651589674039
"4","2005-05-21","2007-09-28",2007.7397260274,2005.42739726027,1526.75,1502.79374644078,-15,80,0.261906239159316,95,1.84002092622112,4.25763773874075,2008.00163226656,7.32203000492127,-0.0624211532593168,-0.0134743203455173,-0.0147303798133455,0.228416440288164,0.0325056456199631,0.0159411453607358
"5","2005-05-21","2007-09-28",2007.7397260274,2005.43835616438,1526.75,1503.06799463582,-20,80,0.333002451574885,121,1.81087445557733,4.63940989936862,2008.07272847897,7.32580968046978,-0.0598332943973525,-0.00541130212255257,-0.0166011574672155,0.313485865405279,0.0185987458046559,0.0157557778149099
"6","2005-05-21","2007-09-28",2007.7397260274,2005.45205479452,1526.75,1503.43850628912,-25,80,0.454504655293476,165,1.760317332128,5.27395801560413,2008.19423068269,7.33326085897825,-0.0568445552417212,0.00619410903683651,-0.0129664877956002,0.477866357702669,0.0168629753111625,0.0155054520775975
"7","2005-05-21","2007-09-28",2007.7397260274,2005.46575342466,1526.75,1503.20700685728,-30,80,0.441957804859612,161,1.79152456024517,5.23072435896426,2008.18168383226,7.33173088402908,-0.0561372526310296,0.00512044091005397,-0.0136986524023711,0.464504640418862,0.0158496862236941,0.0156618436684485
"8","2005-05-21","2007-09-28",2007.7397260274,2005.48493150685,1526.75,1502.85330691378,-35,80,0.450951830940767,164,1.82803701517203,5.29840111460815,2008.19067785834,7.33116389750015,-0.0544438674708343,0.00563924941506316,-0.0132601494309237,0.48299944452531,0.016072731700118,0.0159008819931303
"9","2005-05-21","2007-09-28",2007.7397260274,2005.49315068493,1526.75,1503.16232162449,-40,80,0.43786628012208,159,1.81661845629262,5.27434808639383,2008.17759230752,7.33100132130286,-0.0555766804713349,0.00492939047650672,-0.0138402367997362,0.469590394625718,0.0155798233276846,0.0156920367389312
"10","2005-05-21","2007-09-28",2007.7397260274,2005.50684931507,1526.75,1536.82423350264,-45,80,0.0020103815334096,0,0.334677676962647,1.72040497759574,2007.74173640893,7.35901323352033,-0.127937043829671,-0.031172717659189,-0.0564965954360472,0.000774139095174594,0.0233340691591371,-0.00655522816664383
